09001   9   9   2   9   9   8   +   8
09002   0   3   2   0   0   4   +   3
09003   7   5   8   1   3   2   +   2
09004   7   0   0   6   1   7   +   3
09005   7   9   9   6   4   1   +   1
09006   2   5   0   8   4   8   +   0
09007   0   4   8   5   4   6   +   4
09008   1   5   9   0   2   2   +   0
09009   7   8   0   7   7   7   +   2
09010   8   8   8   3   5   8   +   4
09011   5   1   1   0   0   4   +   1
09012   4   3   0   1   3   0   +   1
09013   5   6   4   5   2   6   +   3
09014   8   1   2   5   3   8   +   0
09015   4   5   7   8   2   7   +   4
09016   0   1   3   9   5   8   +   4
09017   8   5   2   7   7   4   +   2
09018   6   5   9   9   3   5   +   4
09019   3   5   9   8   1   1   +   2
09020   7   0   5   9   4   3   +   0
09021   9   9   5   2   2   2   +   1
09022   2   4   9   8   2   7   +   0
09023   6   3   9   0   8   3   +   2
09024   9   7   4   0   4   6   +   4
09025   6   6   7   5   0   9   +   1
09026   4   9   2   5   8   2   +   2
00001   2   7   5   2   0   8   +   1
00002   5   1   8   3   1   8   +   1
00003   1   9   1   4   9   5   +   2
00004   4   3   1   5   0   3   +   1
00005   1   5   4   8   1   7   +   4
00006   8   3   6   8   5   2   +   2
00007   7   8   5   2   6   0   +   3
00008   5   9   9   2   2   8   +   2
00009   4   7   2   8   9   8   +   4
00010   4   9   9   0   3   0   +   0
00011   9   0   0   8   3   0   +   2
00012   3   0   4   3   3   7   +   2
00013   6   0   0   9   7   2   +   2
00014   8   6   9   5   1   9   +   3
00015   2   0   4   7   7   7   +   1
00016   8   7   1   5   4   2   +   4
00017   0   9   8   2   7   5   +   2
00018   6   7   9   9   9   5   +   3
00019   2   7   5   9   0   7   +   1
00020   7   8   3   1   5   5   +   3
00021   0   9   9   9   0   4   +   1
00022   9   5   4   2   3   1   +   3
00023   8   8   3   4   0   9   +   1
00024   0   2   6   1   2   7   +   0
00025   2   3   7   1   3   3   +   2
00026   4   9   9   3   0   3   +   3
00027   7   4   6   3   3   1   +   3
00028   5   7   0   4   5   3   +   4
00029   7   6   0   6   8   0   +   4
00030   2   8   5   1   4   2   +   3
00031   0   4   3   4   6   6   +   3
00032   7   4   0   8   6   2   +   1
00033   6   1   2   9   7   2   +   4
00034   7   1   0   1   2   9   +   4
00035   2   2   9   0   8   1   +   1
00036   5   8   5   9   5   9   +   7
00037   8   5   4   0   5   8   +   8
00038   8   3   4   1   3   7   +   6
00039   2   9   6   4   5   9   +   4
00040   0   8   0   4   1   9   +   4
00041   4   1   1   8   9   3   +   8
00042   1   3   0   4   7   2   +   5
00043   5   8   7   7   0   3   +   5
00044   7   2   9   2   9   5   +   3
00045   1   8   2   5   0   3   +   7
00046   2   2   1   0   1   4   +   6
00047   4   3   9   9   3   5   +   2
00048   0   3   2   3   8   7   +   9
00049   3   5   1   0   1   4   +   6
00050   2   0   8   1   0   7   +   7
00051   7   3   0   2   6   6   +   8
00052   6   6   5   1   7   2   +   9
00053   0   3   9   4   4   2   +   4
00054   6   4   6   8   4   2   +   6
00055   3   6   6   5   9   7   +   4
00056   9   6   6   7   4   1   +   9
00057   4   7   4   8   7   4   +   7
00058   3   7   1   1   6   8   +   2
00059   9   0   9   5   2   0   +   9
00060   0   7   9   8   7   2   +   1
00061   2   5   8   9   9   7   +   7
00062   9   6   1   2   0   5   +   3
00063   4   9   3   8   8   9   +   3
00064   2   2   8   9   3   3   +   9
00065   4   9   1   7   7   4   +   9
00066   8   5   9   7   6   0   +   8
00067   5   2   8   7   4   4   +   2
00068   0   8   4   7   3   4   +   7
00069   5   6   6   4   5   5   +   4
00070   4   2   8   5   7   2   +   8
00071   5   3   3   6   5   0   +   6
00072   6   9   9   7   9   1   +   6
00073   7   6   5   5   3   2   +   5
00074   1   8   8   4   6   0   +   5
00075   0   4   7   2   9   6   +   5
00076   6   2   0   0   5   4   +   9
